product_name,page,avg_price,rating,comments_num,sold_num,style_num,img_num,description_len,remain_num,transport_free,seller_name,product_num,watching,response_rating,canceled_rate,follower_num,comment_rating,comment_num
/【可可家】現貨-情侶裝-夏季新款-條紋上衣-短袖t恤-條紋T恤-男生-女生-T恤-短袖-衣著-寬松原宿風-半袖上衣-衣服-i.161402662.2511865086,0,99,4.9,8,29,2,5,895,274,299,cjw592628005,682,4295,1,,"8,419",4.7,"(4,079個評價)"
/【町先生】5色S-3XL??人手一件-基本款圓領素色T恤-寬鬆假兩件上衣-打底衫薄款-男生衣著-長袖情侶打底衫-口袋T恤-i.91238848.4211921244,0,197,4.9,14,38,30,5,700,1747,999,dingxiansheng,557,1977,1,,"7,364",4.8,"(6,265個評價)"
/【町先生】2色-M-3XL??韓版百搭打底-圓領素色T恤-寬鬆打底上衣-長袖印花打底衫薄款-T恤男生衣著-長袖情侶打底衫-i.91238848.7911928882,0,188,4.6,5,16,10,5,698,482,999,dingxiansheng,557,1977,1,,"7,364",4.8,"(6,265個評價)"
/【6XL130kg大尺碼】夏季男士短袖寬鬆大碼休閒衣短袖T恤上衣文化男生衣著衣服上衣短T女生衣著大尺碼T恤-i.3764903.1273616369,0,150,4.8,22,37,6,5,545,4200,99,syw7490dct5,216,141,1,0.01,1.5萬,4.7,(3.2萬個評價)
/韓版學生潮男女情侶裝衛衣-寬鬆秋冬加絨加厚連帽原宿風衛衣-韓風青少年個性時尚潮牌上衣-男生女生學院風班服長袖T恤男女衣著-i.162285441.2702655478,0,168,4.9,34,80,2,5,672,1267,299,linruixiong,938,2001,0.99,0.01,"6,613",4.8,"(8,667個評價)"
/【現貨】落肩-條紋上衣-短袖上衣-粗條紋-寬版-五分袖-五分T-條紋T-條紋-男裝-男生衣著(LTFT055)-i.9035172.7415535777,0,189,4.9,8,20,4,5,222,1574,199,mgeneration2016,2989,5,0.96,0.04,2.1萬,4.8,(3.3萬個評價)
/Adidas-T恤-愛迪達-運動上衣-休閒運動圓領短袖-T恤-速乾排汗透氣-短袖T恤-男生衣著-短T-訓練服-T恤-i.153360804.2294208229,0,199,4.9,18,30,16,3,831,628,199,ua.0982,303,5,0.98,,348,4.9,(812個評價)
/「大胖胖」-現貨-M-8XL-2色-大碼圖案印花大學T-大尺碼男生衣著-夏季寬鬆短袖T恤-加大加肥素T-百搭時尚休閒上衣-i.49807642.2280870173,0,319,5,13,20,2,5,351,630,299,dapangpang,1273,4653,1,,"4,275",4.9,"(3,575個評價)"
/【形男】多色可選-黑色T恤-短袖T恤-韓版T恤-男生T恤-短袖上衣-圓領T恤-休閒百搭上衣-大學T恤-修身T恤-男生衣著-i.52661758.2091533750,0,199,4.6,19,51,5,5,339,443,299,xnpushop,1139,4932,1,0.01,1.3萬,4.8,(2.2萬個評價)
/實拍男款-超低價-經典刺繡短袖圓領T恤-短袖polo衫-休閒上衣-男生短袖-t恤-短袖男生-圓領修身大尺碼衣著-短袖t-i.18173531.567987153,0,150,4.7,250,750,6,5,497,41987,299,deyuanxin.tw,1045,1943,1,,"4,497",4.7,"(9,197個評價)"
